BK001|UID001|C001|2022/10/01 09:00|2022/10/01 18:00|Returned|117.0|Paid
BK002|UID002|C011|2022/10/09 09:00|2022/10/10 18:00|Returned|116.0|Paid
BK003|UID004|C002|2022/10/10 12:00|2022/10/11 12:00|Returned|864.0|Paid
BK004|UID005|C003|2022/10/10 12:00|2022/10/11 18:00|Declined|300.0|Unpaid
BK005|UID008|C004|2022/10/11 11:00|2022/10/12 11:00|Declined|312.0|Unpaid
BK006|UID011|C002|2022/10/14 09:00|2022/10/14 16:00|Confirmed|84.0|Paid
BK007|UID019|C001|2022/10/14 10:00|2022/10/14 19:00|Confirmed|480.0|Paid
BK008|UID002|C007|2022/10/15 12:00|2022/10/16 12:00|Returned|312.0|Paid
BK009|UID012|C008|2022/10/17 12:00|2022/10/17 18:00|Declined|300.0|Unpaid
BK010|UID001|C009|2022/10/18 11:00|2022/10/19 11:00|Declined|312.0|Unpaid
BK011|UID014|C010|2022/11/01 09:00|2022/11/01 16:00|Confirmed|84.0|Paid
BK012|UID017|C011|2022/11/02 10:00|2022/11/02 17:00|Confirmed|480.0|Unpaid
BK013|UID001|C002|2022/11/04 12:00|2022/11/05 12:00|Unconfirmed|312.0|Unpaid
BK014|UID002|C006|2022/11/05 12:00|2022/11/05 18:00|Confirmed|300.0|Unpaid
BK015|UID003|C007|2022/11/05 11:00|2022/11/06 11:00|Declined|312.0|Unpaid
BK016|UID014|C008|2022/11/06 09:00|2022/11/06 16:00|Confirmed|84.0|Paid
BK017|UID017|C010|2022/11/13 10:00|2022/11/14 10:00|Confirmed|480.0|Paid
BK018|UID021|C011|2022/11/15 12:00|2022/11/15 19:00|Confirmed|312.0|Paid
BK019|UID022|C004|2022/11/27 12:00|2022/11/28 18:00|Unconfirmed|300.0|Unpaid
BK020|UID033|C003|2022/12/03 11:00|2022/12/03 19:00|Declined|312.0|Unpaid
BK021|UID034|C005|2022/12/06 09:00|2022/12/07 16:00|Confirmed|84.0|Unpaid
BK022|UID027|C003|2022/12/07 10:00|2022/12/07 20:00|Confirmed|480.0|Paid
BK023|UID011|C006|2022/12/10 12:00|2022/12/11 12:00|Confirmed|312.0|Paid
BK024|UID019|C007|2022/12/12 12:00|2022/12/12 18:00|Confirmed|300.0|Paid
BK025|UID029|C008|2022/12/13 11:00|2022/12/14 11:00|Declined|312.0|Unpaid
BK026|UID034|C009|2022/12/14 09:00|2022/12/14 16:00|Confirmed|84.0|Paid
BK027|UID010|C010|2022/12/15 10:00|2022/12/16 10:00|Confirmed|480.0|Paid
BK028|UID001|C001|2022/12/18 12:00|2022/12/18 16:00|Confirmed|312.0|Paid
BK029|UID002|C002|2022/12/20 12:00|2022/12/21 12:00|Confirmed|312.0|Paid
BK030|UID003|C005|2022/12/28 12:00|2022/12/28 19:00|Unconfirmed|312.0|Unpaid
